age,wc,education,marital status,race,gender,hours per week,IncomeClass
38, Private, HS-grad, Divorced, White, Male,40, <=50K
28, Private, Bachelors,Married, Black, Female,40, <=50K
37, Private, Masters,Married, White, Female,40, <=50K
31, Private, Masters, Never-married, White, Female,50, >50K
42, Private, Bachelors,Married, White, Male,40, >50K
37, Private, Some-college,Married, Black, Male,80, >50K
23, Private, Bachelors, Never-married, White, Female,30, <=50K
32, Private, HS-grad, Never-married, White, Male,40, <=50K
40, Private, Doctorate,Married, White, Male,60, >50K
59, Private, HS-grad, Divorced, White, Female,40, <=50K
56, Local-gov, Bachelors,Married, White, Male,40, >50K
19, Private, HS-grad, Never-married, White, Male,40, <=50K
39, Private, HS-grad, Divorced, White, Male,80, <=50K
49, Private, HS-grad,Married, White, Male,40, <=50K
20, Private, Some-college, Never-married, Black, Male,44, <=50K
45, Private, Bachelors, Divorced, White, Male,40, <=50K
30, Federal-gov, Some-college,Married, White, Male,40, <=50K
21, Private, Some-college, Never-married, White, Male,40, <=50K
19, Private, HS-grad,Married, White, Female,25, <=50K
31, Private, Some-college,Married, White, Male,38, >50K
24, Private, Bachelors,Married, White, Male,50, <=50K
25, Private, HS-grad, Never-married, White, Male,35, <=50K
57, Federal-gov, Bachelors,Married, Black, Male,40, >50K
53, Private, HS-grad,Married, White, Male,38, <=50K
44, Private, Masters, Divorced, White, Female,40, <=50K
25, Private, Some-college,Married, Other, Female,40, <=50K
18, Private, HS-grad, Never-married, White, Female,30, <=50K
47, Private, Prof-school,Married, White, Female,60, >50K
50, Federal-gov, Bachelors, Divorced, White, Male,55, >50K
43, Private, Some-college,Married, White, Male,40, >50K
41, Private, HS-grad,Married, White, Male,48, <=50K
30, Private, HS-grad,Married, White, Male,40, <=50K
30, Private, Bachelors,Married, White, Male,40, <=50K
48, Private, HS-grad,Married, White, Male,40, <=50K
42, Private, Doctorate,Married, White, Male,45, >50K
29, Private, Some-college, Divorced, White, Male,58, <=50K
36, Private, HS-grad,Married, White, Male,40, <=50K
28, Private, Some-college, Divorced, White, Female,40, <=50K
53, Private, HS-grad,Married, White, Female,40, >50K
19, Private, Some-college, Never-married, White, Male,32, <=50K
23, Private, Some-college, Never-married, White, Male,40, <=50K
79, Private, Some-college,Married, White, Male,20, <=50K
27, Private, HS-grad, Never-married, White, Male,40, <=50K
18, Private, HS-grad, Never-married, White, Male,30, <=50K
52, Private, Bachelors,Married, White, Male,40, <=50K
46, Private, HS-grad,Married, White, Female,40, <=50K
59, Private, HS-grad,Married, White, Male,48, <=50K
44, Private, HS-grad, Divorced, White, Female,40, >50K
53, Private, HS-grad, Divorced, White, Female,35, <=50K
49, Local-gov, HS-grad,Married, White, Male,40, >50K
33, Private, Masters,Married, White, Male,50, <=50K
43, Federal-gov, Doctorate, Never-married, White, Female,50, >50K
37, Private, Some-college, Divorced, White, Female,40, <=50K
28, Private, Some-college, Divorced, Black, Female,25, <=50K
30, Private, HS-grad,Married, Asian-Pac-Islander, Female,35, <=50K
34, Local-gov, Bachelors,Married, White, Male,40, >50K
29, Local-gov, Some-college, Never-married, White, Male,50, <=50K
37, Private, Some-college,Married, White, Male,48, >50K
32, Federal-gov, HS-grad, Never-married, Black, Male,40, <=50K
76, Private, Masters,Married, White, Male,40, >50K
44, Private, Bachelors,Married, White, Male,60, >50K
20, Private, Some-college, Never-married, White, Female,40, <=50K
29, Private, HS-grad, Never-married, White, Male,40, <=50K
31, Local-gov, HS-grad, Never-married, White, Female,40, <=50K
42, Private, HS-grad,Married, White, Male,40, <=50K
24, Private, Bachelors, Never-married, White, Male,40, <=50K
38, Private, Prof-school,Married, White, Male,40, >50K
28, Private, Some-college,Married, White, Female,25, <=50K
36, Private, HS-grad, Never-married, White, Female,40, <=50K
55, Private, Some-college,Married, White, Male,56, <=50K
22, Private, HS-grad, Never-married, White, Male,41, <=50K
21, Private, Some-college, Never-married, White, Female,40, <=50K
40, Private, Bachelors,Married, White, Male,60, <=50K
30, Private, Bachelors, Never-married, Black, Male,40, <=50K
19, Private, Some-college, Never-married, Black, Male,35, <=50K
47, Private, Bachelors,Married, White, Female,40, >50K
20, Private, Some-college, Never-married, White, Female,28, <=50K
39, Private, Some-college, Divorced, White, Male,40, <=50K
24, Private, HS-grad, Never-married, White, Female,40, <=50K
37, Private, Bachelors,Married, White, Male,50, <=50K
38, Federal-gov, Masters,Married, White, Male,40, >50K
20, Private, Some-college, Never-married, White, Male,20, <=50K
49, Private, Some-college,Married, Asian-Pac-Islander, Male,40, >50K
27, Private, Some-college, Never-married, White, Female,40, <=50K
19, Private, Some-college, Never-married, White, Male,30, <=50K
70, Private, Some-college, Never-married, White, Male,40, <=50K
31, Private, HS-grad, Never-married, Black, Female,30, <=50K
22, Private, Some-college,Married, White, Male,24, <=50K
36, Private, HS-grad, Widowed, White, Female,24, <=50K
47, Local-gov, Some-college, Divorced, White, Female,38, <=50K
34, Private, HS-grad, Never-married, White, Female,40, <=50K
33, Private, Bachelors, Never-married, Asian-Pac-Islander, Female,40, <=50K
